division_id	division_date	division_name
34207	2020-03-10	Telecommunications Infrastructure (Leasehold Property) Bill &#8212; Code rights in respect of land connected to leased premises
34208	2020-05-12	Remote Division: Covid-19
34209	2020-05-13	Remote Division result: New Clause 2
34210	2020-05-13	Remote Division Result: New Clause 7
34211	2020-05-13	Remote Division Result: Amendment 39
34212	2020-05-13	Remote Division Result: Agriculture Bill (Third Reading)
34213	2020-05-18	Immigration and Social Security Co-ordination (EU Withdrawal) Bill
34248	2020-06-02	Participation in proceedings
34219	2020-06-02	Participation in proceedings
34216	2020-06-02	Parliamentary Constituencies Bill
34221	2020-06-08	Divorce, Dissolution and Separation Bill [Lords]
34298	2020-06-10	Children and Young Persons
34236	2020-06-17	Divorce, Dissolution and Separation Bill [Lords] &#8212; Increased support for marriage and civil partnerships
34232	2020-06-17	Deferred Division &#8212; Health and Personal Social Services
34319	2020-06-23	Amendments to the Code of Conduct
34239	2020-06-24	Demonstrations (Abortion Clinics)
34299	2020-06-24	Testing of NHS and Social Care Staff
34320	2020-06-30	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; Duty to commission an independent evaluation: health and social care sectors
34321	2020-06-30	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; Time limit on immigration detention for EEA and Swiss nationals
34322	2020-06-30	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; Exemption from no recourse to public funds
34323	2020-06-30	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; Family Reunion and Settlement
34324	2020-06-30	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; Regulations under section 5
34325	2020-07-01	Prime Minister (Nomination) and Cabinet (Appointment)
34327	2020-07-01	Finance Bill &#8212; New Clause 28 - Review of impact of Act on the environment
34328	2020-07-01	Finance Bill &#8212; New Clause 26 - Review of impact of Act on job creation
34329	2020-07-01	Finance Bill &#8212; New Clause 1 - Loan charge: report on effect of the scheme
34330	2020-07-01	Finance Bill &#8212; Schedule 1 - Workers&#8217; services provided through intermediaries
34326	2020-07-01	Finance Bill &#8212; Clause 71 - Review of DST
34305	2020-07-06	Domestic Abuse Bill &#8212; New Clause 22 - Recourse to public funds for domestic abuse survivors
34306	2020-07-06	Domestic Abuse Bill &#8212; New Clause 23 - Commissioning specialist domestic abuse services for victims and perpetrators of domestic abuse
34331	2020-07-14	Parliamentary Constituencies Bill &#8212; New Clause 1 - Electorate per constituency
34332	2020-07-14	Parliamentary Constituencies Bill &#8212; New Clause 2 - Allocation of constituencies
34333	2020-07-14	Parliamentary Constituencies Bill &#8212; New Clause 2 - Allocation of constituencies
34334	2020-07-15	Covid-19: Future UK-EU Relationship
34335	2020-07-20	Trade Bill &#8212; New clause 4 - Parliamentary approval of trade agreements
34336	2020-07-20	Trade Bill &#8212; New Clause 11 - Import of agricultural goods after IP completion day
34337	2020-07-20	Trade Bill &#8212; New Clause 17 - International trade agreements: health or care services
34338	2020-07-20	Trade Bill &#8212; Clause 2 - Implementation of international trade agreements
34339	2020-07-20	Trade Bill &#8212; Clause 8 - Disclosure of Information By HMRC
34340	2020-07-21	Counter-Terrorism and Sentencing Bill &#8212; Clause 4 - Serious terrorism sentence for adults aged under 21: England and Wales
34342	2020-09-01	Fisheries Bill [Lords]
34343	2020-09-02	Recall of MPs (Change of Party Affiliation)
34345	2020-09-07	Fire Safety Bill &#8212; New Clause 1 - Duties of owner or manager
34348	2020-09-08	Extradition (Provisional Arrest) Bill [Lords] &#8212; Schedule - Power of arrest for extradition purposes
34349	2020-09-08	Extradition (Provisional Arrest) Bill [Lords] &#8212; Schedule - Power of arrest for extradition purposes
34353	2020-09-09	Protection of Jobs and Businesses
34351	2020-09-09	Protection of Jobs and Businesses
34365	2020-09-09	Awarding of Qualifications: Role of Ministers
34355	2020-09-11	Speaker&#8217;s Statement
34356	2020-09-14	United Kingdom Internal Market Bill
34359	2020-09-14	United Kingdom Internal Market Bill
34360	2020-09-14	United Kingdom Internal Market Bill (Money)
34361	2020-09-15	United Kingdom Internal Market Bill &#8212; Clause 28 - Functions of the CMA under this Part: general provisions
34371	2020-09-15	United Kingdom Internal Market Bill &#8212; New Clause 2 - Limits on powers to override common frameworks
34368	2020-09-16	United Kingdom Internal Market Bill &#8212; Clause 46 - Power to provide financial assistance for economic development etc
34369	2020-09-16	United Kingdom Internal Market Bill &#8212; Clause 47 - Financial assistance: supplementary
34372	2020-09-21	United Kingdom Internal Market Bill &#8212; Clause 40 - Northern Ireland's place in the UK internal market and customs territory
34373	2020-09-21	United Kingdom Internal Market Bill &#8212; Clause 40 - Northern Ireland's place in the UK internal market and customs territory
34374	2020-09-21	United Kingdom Internal Market Bill &#8212; Clause 42 - Power to disapply or modify export declarations and other exit procedures
34375	2020-09-21	United Kingdom Internal Market Bill &#8212; Clause 45 - Further provision related to sections 42 and 43 etc
34376	2020-09-22	United Kingdom Internal Market Bill &#8212; Clause 54 - Extent, commencement and short title
34392	2020-09-23	Overseas Operations (Service Personnel And Veterans) Bill
34378	2020-09-23	Deferred Divisions &#8212; Public Health
34379	2020-09-23	Deferred Divisions &#8212; Public Health
34380	2020-09-23	Deferred Divisions &#8212; Public Health
34381	2020-09-23	Deferred Divisions &#8212; Public Health
34382	2020-09-23	Deferred Divisions &#8212; Public Health
34383	2020-09-23	Deferred Divisions &#8212; Public Health
34384	2020-09-23	Deferred Divisions &#8212; Public Health
35300	2020-09-29	United Kingdom Internal Market Bill &#8212; New Clause 1 - Withdrawal Agreement and Rule of Law Duty
35301	2020-09-29	United Kingdom Internal Market Bill &#8212; New Clause 6 - Economic development: climate and nature emergency impact statement
35302	2020-09-29	United Kingdom Internal Market Bill &#8212; New Clause 7 - Northern Ireland&#8217;s place in the UK internal market
35303	2020-09-29	United Kingdom Internal Market Bill &#8212; Clause 45 - Further provision related to sections 42 and 43 etc
35304	2020-09-29	United Kingdom Internal Market Bill &#8212; Schedule 2 - Services Exclusions
35305	2020-09-29	United Kingdom Internal Market Bill &#8212; Schedule 2 - Services Exclusions
34405	2020-09-30	Coronavirus Act 2020 (Review of Temporary Provisions)
35306	2020-09-30	Town and Country Planning
35307	2020-09-30	Town and Country Planning
35308	2020-09-30	Town and Country Planning
35309	2020-09-30	Deferred Divisions &#8212; Immigration
35310	2020-09-30	Deferred Divisions &#8212; Employment
34421	2020-10-05	Covert Human Intelligence Sources (Criminal Conduct) Bill
35311	2020-10-06	Private International Law (Implementation of Agreements) Bill [Lords] &#8212; New Clause 5 - IMPLEMENTATION OF OTHER AGREEMENTS ON PRIVATE INTERNATIONAL LAW (NO. 3)
34424	2020-10-06	Public Health
35312	2020-10-12	Agriculture Bill &#8212; After Clause 34 - Application of pesticides: limitations on use to protect human health
35313	2020-10-12	Agriculture Bill &#8212; After Clause 42 - Requirement for agricultural and food imports to meet domestic standards
35314	2020-10-12	Agriculture Bill &#8212; After Clause 42 - Contribution of agriculture and associated land use to climate change targets
34438	2020-10-13	Business of the House (Today)
34439	2020-10-13	Public Health
35315	2020-10-13	Fisheries Bill [Lords] &#8212; New Clause 3 - Sea Fish Industry Authority: accounts and reports
35316	2020-10-13	Fisheries Bill [Lords] &#8212; Clause 1 - Fisheries Objectives
35317	2020-10-13	Fisheries Bill [Lords] &#8212; Schedule 3 - Sea fishing licences: further provision
34695	2020-10-13	Business of the House (Today)
35318	2020-10-14	Covid-19 Economic Support Package
35319	2020-10-14	Local Contact Tracing
35320	2020-10-15	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; Clause 1 - Authorisation of criminal conduct
35321	2020-10-15	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; Clause 1 - Authorisation of criminal conduct
35322	2020-10-15	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; Clause 2
35323	2020-10-15	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; New clause 4
35324	2020-10-15	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; New clause 4
35325	2020-10-19	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; After Clause 1 - Impact of section 1 on the social care sector
35326	2020-10-19	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; After Clause 4 - Children in Care and Children Entitled to Care Leaving Support: Entitlement to Remain
35327	2020-10-19	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; After Clause 4 - Leave to Enter: Family Unity and Claims for Asylum
35328	2020-10-19	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; After Clause 4 - EU Settlement Scheme: physical documented proof
35329	2020-10-19	Immigration and Social Security Co-ordination (EU Withdrawal) Bill &#8212; After Clause 4 - Time limit on immigration detention for EEA and Swiss nationals
35330	2020-10-21	Additional Covid-19 Restrictions: Fair Economic Support
35331	2020-10-21	Free School Meals
35332	2020-10-21	Deferred Divisions &#8212; Exiting the European Union (Immigration)
34462	2020-10-21	Deferred Divisions &#8212; Insolvency
34463	2020-10-21	Deferred Divisions &#8212; Public Health
34464	2020-10-21	Deferred Divisions &#8212; Public Health
34465	2020-10-21	Deferred Divisions &#8212; Community Infrastructure Levy
34477	2020-10-23	Prayers - <i> [Mr Speaker in the Chair] </i>
35333	2020-11-03	Overseas Operations (Service Personnel and Veterans) Bill &#8212; New Clause 5 - RESTRICTIONS ON TIME LIMITS: ACTIONS BROUGHT AGAINST THE CROWN BY SERVICE PERSONNEL
35334	2020-11-03	Overseas Operations (Service Personnel and Veterans) Bill &#8212; Clause 6 - &#8220;Relevant offence&#8221;
35335	2020-11-03	Overseas Operations (Service Personnel and Veterans) Bill &#8212; Schedule 1 - Excluded offences for the purposes of section 6
35336	2020-11-03	Overseas Operations (Service Personnel and Veterans) Bill &#8212; Schedule 1 - Excluded offences for the purposes of section 6
35337	2020-11-04	Public Health
35338	2020-11-04	Agriculture Bill &#8212; After Clause 42 - Duty to seek equivalence on agri-food standards in relation to future trade
35339	2020-11-04	Immigration and Social Security Co-ordination (EU Withdrawal) Bill
35340	2020-11-10	Parliamentary Constituencies Bill &#8212; Clause 1 - Reports of the Boundary Commissions
35341	2020-11-10	Parliamentary Constituencies Bill &#8212; After Clause 4
35342	2020-11-10	Parliamentary Constituencies Bill &#8212; After Clause 5
35343	2020-11-10	Parliamentary Constituencies Bill &#8212; After Clause 6
35344	2020-11-10	Committee on Standards
35345	2020-11-16	Pension Schemes Bill [Lords] &#8212; New Clause 1 - Pensions Guidance
35346	2020-11-16	Pension Schemes Bill [Lords] &#8212; New Clause 4 - Employer debt: trustees&#8217; discretion
35347	2020-11-16	Pension Schemes Bill [Lords] &#8212; Clause 123 - Funding of defined benefit schemes
35348	2020-11-16	Pension Schemes Bill [Lords] &#8212; Clause 124 - Climate change risk
35349	2020-11-17	Delegated Legislation &#8212; Exiting the European Union (Environmental Protection)
35350	2020-11-25	Deferred Division &#8212; Exiting the European Union (Constitutional Law)
35351	2020-12-01	Public Health
35352	2020-12-02	Deferred Division
35353	2020-12-07	United Kingdom Internal Market Bill &#8212; After Clause 1 - Common frameworks process
35354	2020-12-07	United Kingdom Internal Market Bill &#8212; Clause 10 - Further exclusions from market access principles
35355	2020-12-07	United Kingdom Internal Market Bill &#8212; Clause 47 - Further provision related to sections 44 and 45 etc
35356	2020-12-07	United Kingdom Internal Market Bill &#8212; Clause 48 - Power to provide financial assistance for economic development etc
35357	2020-12-08	Northern Ireland (Ways and Means)
34553	2020-12-08	Delegated Legislation &#8212; Financial Assistance to Industry
35358	2020-12-09	Taxation (Post-transition Period) Bill &#8212; Clause 1 - Duty on goods removed to Northern Ireland
35359	2020-12-09	Delegated Legislation &#8212; Exiting the European Union (Immigration and Asylum)
35360	2020-12-10	United Kingdom Internal Market Bill &#8212; After Clause 1 - COMMON FRAMEWORKS PROCESS
35361	2020-12-10	United Kingdom Internal Market Bill &#8212; After Clause 1 - COMMON FRAMEWORKS PROCESS
35362	2020-12-10	United Kingdom Internal Market Bill &#8212; After Clause 1 - COMMON FRAMEWORKS PROCESS
35363	2020-12-15	United Kingdom Internal Market Bill &#8212; After Clause 10 - Further exclusions from market access principles
35364	2020-12-15	Taxation (Post-transition Period) Bill &#8212; New Clause 3 - Treasury use of powers
36661	2020-12-30	Miscellaneous
36662	2020-12-30	European Union (Future Relationship) Bill
36663	2020-12-30	European Union (Future Relationship) Bill
35368	2020-12-30	Sittings of the House
35369	2021-01-06	Public Health
35370	2021-01-13	Financial Services Bill &#8212; New Clause 7 - Regulation of buy-now-pay-later firms
36664	2021-01-13	Financial Services Bill &#8212; New Clause 21 - Duty of care specification
36665	2021-01-13	Financial Services Bill &#8212; Schedule 2 - Prudential regulation of FCA investment firms
35373	2021-01-18	Universal Credit and Working Tax Credit
35374	2021-01-18	Remote Education and Free School Meals
36666	2021-01-19	Trade Bill &#8212; After Clause 2 - Parliamentary approval of trade agreements
36667	2021-01-19	Trade Bill &#8212; After Clause 6 - Trade And Agriculture Commission: Advisory Functions
36668	2021-01-19	Trade Bill &#8212; After Clause 2 - Free Trade Agreements: Determination on Compliance with International Obligations and State Actions
36669	2021-01-19	Trade Bill &#8212; After Clause 2 - Agreements with states accused of committing genocide
36670	2021-01-19	Trade Bill &#8212; After Clause 2 - International trade agreements: health, care or publicly funded data processing services and IT systems in connection with the provision of health and care
36671	2021-01-19	Trade Bill &#8212; After Clause 2 - Ratification of International Trade Agreements and Treaties
36672	2021-01-19	Trade Bill &#8212; After Clause 2 - Standards affected by international trade agreements
36673	2021-01-19	Trade Bill &#8212; After Clause 2 - Protection of Children Online
36674	2021-01-19	Trade Bill &#8212; After Clause 2 - Northern Ireland: Non-Discrimination in Goods and Services
36675	2021-01-20	National Security and Investment Bill &#8212; New Clause 4 - Framework for understanding national security
35385	2021-01-20	National Security and Investment Bill &#8212; New Clause 6 - Dedicated Small to Medium Enterprise support
36676	2021-01-20	National Security and Investment Bill &#8212; New Clause 7 - Reports to the Intelligence and Security Committee of Parliament
35387	2021-01-25	Council Tax: Government&#8217;s Proposed Increase
35388	2021-01-25	Employment Rights: Government Plans
36677	2021-01-26	Environment Bill &#8212; New Clause 1 - Environmental Principles: Public Authorities
36678	2021-01-26	Environment Bill &#8212; New Clause 5 - State of nature target
36679	2021-01-26	Environment Bill &#8212; Clause 2 - Environmental targets: particulate matter
36680	2021-01-26	Environment Bill &#8212; Clause 7 - ENVIRONMENTAL IMPROVEMENT PLANS
36681	2021-01-26	Environment Bill &#8212; Schedule 20 - Amendment of REACH legislation
36682	2021-01-27	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; Clause 1 - Authorisation of Criminal Conduct
36683	2021-01-27	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; Clause 1 - Authorisation of Criminal Conduct
36684	2021-01-27	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; Clause 1 - Authorisation of Criminal Conduct
36685	2021-01-27	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; After Clause 2 - Notification to a Judicial Commissioner
36686	2021-01-27	Covert Human Intelligence Sources (Criminal Conduct) Bill &#8212; Clause 1 - Authorisation of Criminal Conduct
36687	2021-01-27	Deferred Division &#8212; Local Government
35400	2021-02-01	Unsafe Cladding: Protecting Tenants and Leaseholders
35401	2021-02-01	Covid Security at UK Borders
36688	2021-02-03	Exiting the European Union (Excise)
36689	2021-02-09	Trade Bill &#8212; After Clause 2 - Parliamentary approval of international trade agreements and treaties
36690	2021-02-09	Trade Bill &#8212; After Clause 2 - Parliamentary approval of international trade agreements and treaties
36691	2021-02-09	Trade Bill &#8212; After Clause 2 - Parliamentary approval of international trade agreements and treaties
36692	2021-02-10	Deferred Division &#8212; Public Health
35407	2021-02-23	Government's Management of the Economy
35408	2021-02-23	Coronavirus: Supporting Businesses and Individuals
35409	2021-02-24	Fire Safety Bill &#8212; After Clause 2 - Prohibition on passing remediation costs on to leaseholders and tenants
35410	2021-02-24	Fire Safety Bill &#8212; After Clause 2 - Prohibition on passing remediation costs on to leaseholders and tenants
36693	2021-02-24	Business of the House
36694	2021-03-09	5. Basic rate limit and personal allowance (future years)
36695	2021-03-11	Contingencies Fund (No. 2) Bill &#8212; Clause 1 - Temporary increase in capital limit of Contingencies Fund
36696	2021-03-16	Police, Crime, Sentencing and Courts Bill &#8212; [2nd Allotted Day]
36697	2021-03-16	Police, Crime, Sentencing and Courts Bill &#8212; [2nd Allotted Day]
36698	2021-03-17	Scotland: General Election and Constitutional Future
36699	2021-03-17	Scotland: General Election and Constitutional Future
36700	2021-03-17	Leaving the EU: Impact on the UK
36701	2021-03-22	Trade Bill &#8212; After Clause 2 - Trade agreements and genocide
36702	2021-03-22	Trade Bill &#8212; After Clause 2 - Trade agreements and genocide
36703	2021-03-22	Fire Safety Bill &#8212; After Clause 2 - Prohibition on passing remediation costs on to leaseholders and tenants
35422	2021-03-25	Coronavirus Act 2020 (Review of Temporary Provisions) (No.2)
36704	2021-04-13	Finance (No. 2) Bill
36705	2021-04-13	Finance (No. 2) Bill
35425	2021-04-14	NHS Pay Award (Report)
36706	2021-04-14	Lobbying of Government Committee
36707	2021-04-14	Strength of the UK&#8217;s Armed Forces
36708	2021-04-15	Domestic Abuse Bill &#8212; Clause 2 - Definition of &#8220;personally connected&#8221;
36709	2021-04-15	Domestic Abuse Bill &#8212; Clause 55 - Support provided by local authorities to victims of domestic abuse
36710	2021-04-15	Domestic Abuse Bill &#8212; After Clause 64 - Training
36711	2021-04-15	Domestic Abuse Bill &#8212; Before Clause 69 - Reasonable force in domestic abuse cases
36712	2021-04-15	Domestic Abuse Bill &#8212; Defence for victims of domestic abuse who commit an offence
36713	2021-04-15	Domestic Abuse Bill &#8212; After Clause 72 - Victims of domestic abuse: data-sharing for immigration purposes
36714	2021-04-15	Domestic Abuse Bill &#8212; Victims of domestic abuse: leave to remain and the destitution domestic violence concession (DDVC)
36715	2021-04-15	Domestic Abuse Bill &#8212; Monitoring of serial and serious harm domestic abuse and stalking perpetrators under Multi-Agency Public Protection Arrangements
36716	2021-04-15	Domestic Abuse Bill &#8212; Effective protection and support for all victims of domestic abuse
36717	2021-04-19	Finance (No. 2) Bill &#8212; Clause 5 - Basic rate limit and personal allowance for future tax years
36718	2021-04-19	Finance (No. 2) Bill &#8212; New Clause 10 - Review of changes to coronavirus support payments etc
36719	2021-04-19	Finance (No. 2) Bill &#8212; New Clause 23 - EQUALITY IMPACT ANALYSIS
36720	2021-04-19	Finance (No. 2) Bill &#8212; Clause 9 - Super-deductions and other temporary first-year allowances
36721	2021-04-19	Finance (No. 2) Bill &#8212; New Clause 24 - Review of super-deductions
36722	2021-04-19	Finance (No. 2) Bill &#8212; New Clause 25 - Review of freeports
36723	2021-04-20	Finance (No. 2) Bill &#8212; New Clause 29 - Review of tax avoidance measures
36724	2021-04-20	Finance (No. 2) Bill &#8212; Clause 87 - Temporary Period For Reduced Rates On Residential Property
36725	2021-04-21	Overseas Operations (Service Personnel and Veterans) Bill &#8212; After Clause 7 - Investigation of allegations related to overseas operations
36726	2021-04-21	Overseas Operations (Service Personnel and Veterans) Bill &#8212; After Clause 12 - Restrictions on time limits: actions brought against the Crown by service personnel
36727	2021-04-21	Overseas Operations (Service Personnel and Veterans) Bill &#8212; Duty Of Care To Service Personnel
36728	2021-04-26	Financial Services Bill &#8212; Before Clause 1 - Duty of care for financial service providers
36729	2021-04-26	Domestic Abuse Bill &#8212; Clause 55 - Annual reports
36730	2021-04-26	Domestic Abuse Bill &#8212; After Clause 72 - Victims of domestic abuse: data-sharing for immigration purposes
36731	2021-04-26	Domestic Abuse Bill &#8212; Recourse to public funds for duration of pilot scheme
36732	2021-04-26	Domestic Abuse Bill &#8212; Before Clause 69 - identification, monitoring and management of serial domestic abuse and stalking perpetrators
36733	2021-04-26	National Security and Investment Bill &#8212; Clause 61 - Annual Report
36734	2021-04-27	Fire Safety Bill &#8212; After Clause 2 - Prohibition on passing remediation costs on to leaseholders and tenants pending operation of a statutory scheme
36735	2021-04-27	Overseas Operations (Service Personnel and Veterans) Bill &#8212; After Clause 12 - Duty of care to service personnel
35456	2021-04-27	Delegated Legislation &#8212; Health and Personal Social Services
36736	2021-04-28	Fire Safety Bill &#8212; After Clause 2 - Legislative proposals relating to prohibition on passing remediation costs on to leaseholders and tenants
36737	2021-04-28	Immigration
36738	2021-04-28	National Security and Investment Bill &#8212; Clause 61 - Annual report
36739	2021-05-18	Affordable and Safe Housing for All
36740	2021-05-19	A Plan for the NHS and Social Care
36741	2021-05-19	A Plan for the NHS and Social Care
36742	2021-05-19	A Plan for the NHS and Social Care
36743	2021-05-19	A Plan for the NHS and Social Care
36744	2021-05-24	Finance Bill &#8212; New Clause 23 - Review of impact of a global minimum rate of corporation tax
36745	2021-05-24	Finance Bill &#8212; Clause 9 - Super-deductions and other temporary first-year allowances
36746	2021-05-24	Finance Bill &#8212; New Clause 25 - Reporting on the impact of new arrangements on each freeport
36747	2021-05-24	Finance Bill &#8212; New Clause 24 - Review of impact of 2% non-resident surcharge
36748	2021-05-24	Finance Bill &#8212; New Clause 9 - Review of changes to coronavirus support payments etc
36749	2021-05-24	Finance Bill &#8212; Schedule 24 - Penalties for deliberately withholding information
36750	2021-05-25	Telecommunications (Security) Bill &#8212; New Clause 1 - OFCOM&#8217;s Annual Report
35472	2021-05-25	Telecommunications (Security) Bill &#8212; New Clause 2 - Provision of information to the Intelligence and Security Committee
36751	2021-05-25	Telecommunications (Security) Bill &#8212; New Clause 3 - Network diversification
36752	2021-05-26	Environment Bill &#8212; New Clause 25 - Duty to prepare a Tree Strategy for England
36753	2021-05-26	Environment Bill &#8212; Clause 95 - General duty to conserve and enhance biodiversity
36754	2021-05-26	Environment Bill &#8212; New Clause 12 - Well consents for hydraulic fracturing: cessation of issue and termination
36755	2021-05-26	Environment Bill &#8212; New Clause 24 - Prohibition on burning of peat in upland areas
36756	2021-06-07	Advanced Research and Invention Agency Bill &#8212; New Clause 1 - Human Rights Abuses
36757	2021-06-07	Advanced Research and Invention Agency Bill &#8212; New Clause 1 - Human Rights Abuses
36758	2021-06-07	Advanced Research and Invention Agency Bill &#8212; Clause 6 - Information
35481	2021-06-09	Investing in Children and Young People
35482	2021-06-09	Protecting the Public and Justice for Victims
36759	2021-06-09	Deferred Division &#8212; Information Commissioner (Remuneration)
36760	2021-06-15	Catch-up Premium
36761	2021-06-15	Covid-Secure Borders
35486	2021-06-16	Coronavirus
35487	2021-06-16	Proceedings During the Pandemic
36762	2021-06-16	Deferred Division &#8212; Climate Change
36763	2021-06-21	Protecting Britain&#8217;s Steel Industry
35489	2021-06-21	Planning Decisions: Local Involvement
36764	2021-06-23	Armed Forces Bill &#8212; Clause 8 - Reserve forces: flexibility of commitments
36765	2021-06-23	Armed Forces Bill &#8212; Clause 8 - Reserve forces: flexibility of commitments
36766	2021-06-23	Armed Forces Bill &#8212; New Clause 7 - Indefinite leave to remain payments by Commonwealth and Gurkha members of armed forces
36767	2021-06-23	Deferred Division &#8212; Adjournment (Conference, November and Christmas)
36768	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; New Clause 31 - Offence of assaulting etc. retail worker
36769	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; New Clause 91 - Review of the Misuse of Drugs Act 1971
36770	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; Clause 55 - Imposing conditions on public processions
36771	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; Clause 62 - Offence relating to residing on land without consent in or with a vehicle
36772	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; New Clause 19 - Justice impact assessment for Wales
36773	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; New Clause 89 - Minimum sentence for an offence under section 1 of the Sexual Offences Act 2003
36774	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; New Clause 97 - Video recorded cross-examination or re-examination of complainants in respect of sexual offences and modern slavery offences
36775	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; New Clause 98 - Offence of pet theft
36776	2021-07-05	Police, Crime, Sentencing and Courts Bill &#8212; New Clause 98 - Offence of pet theft
36777	2021-07-06	Dissolution and Calling of Parliament Bill
36778	2021-07-07	Covid-19: Contracts and Public Inquiry
36779	2021-07-07	EU Settlement Scheme
36780	2021-07-12	Higher Education (Freedom of Speech) Bill
36781	2021-07-13	International Aid: Treasury Update
36782	2021-07-13	Armed Forces Bill &#8212; New Clause 4
36783	2021-07-13	Armed Forces Bill &#8212; Clause 7 - Concurrent jurisdiction
36784	2021-07-13	Armed Forces Bill &#8212; Clause 8 - Armed forces covenant
36785	2021-07-13	Deferred Divisions
35513	2021-07-14	Planning and Local Representation
36786	2021-07-14	Health and Care Bill
36787	2021-07-14	Health and Care Bill
36788	2021-07-20	Nationality and Borders Bill &#8212; [2nd Allocated Day]
36789	2021-07-20	Nationality and Borders Bill &#8212; [2nd Allocated Day]
36790	2021-09-06	National Insurance Contributions Bill &#8212; New Clause 4 - Employment allowance for national insurance contributions
36791	2021-09-07	Elections Bill
36792	2021-09-07	Elections Bill
36793	2021-09-08	Health and Social Care Levy
36794	2021-09-08	Health and Social Care Levy
